Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Stage,Legendary,fecha_aparicion,objeto
Parasect,Bug,Grass,405,60,95,80,60,80,30,2,FALSE,2018-03-04,true
Venonat,Bug,Poison,305,60,55,50,40,55,45,1,FALSE,2010-10-21,false
Venomoth,Bug,Poison,450,70,65,60,90,75,90,2,FALSE,2002-02-15,true
Diglett,Ground,,265,10,55,25,35,45,95,1,FALSE,2012-09-19,false
Dugtrio,Ground,,405,35,80,50,50,70,120,2,FALSE,2013-09-25,false
Meowth,Normal,,290,40,45,35,40,40,90,1,FALSE,1999-11-30,true
Persian,Normal,,440,65,70,60,65,65,115,2,FALSE,2010-04-21,false
Psyduck,Water,,320,50,52,48,65,50,55,1,FALSE,2003-10-24,true
Golduck,Water,,500,80,82,78,95,80,85,2,FALSE,2013-05-31,false
Mankey,Fighting,,305,40,80,35,35,45,70,1,FALSE,2010-12-28,true
Primeape,Fighting,,455,65,105,60,60,70,95,2,FALSE,2006-05-29,false
Growlithe,Fire,,350,55,70,45,70,50,60,1,FALSE,2012-05-02,false
Arcanine,Fire,,555,90,110,80,100,80,95,2,FALSE,2015-09-10,true
Poliwag,Water,,300,40,50,40,40,40,90,1,FALSE,2010-10-13,false
Poliwhirl,Water,,385,65,65,65,50,50,90,2,FALSE,1998-10-10,true
Poliwrath,Water,Fighting,510,90,95,95,70,90,70,3,FALSE,2010-01-22,false
Abra,Psychic,,310,25,20,15,105,55,90,1,FALSE,2009-08-22,false
Kadabra,Psychic,,400,40,35,30,120,70,105,2,FALSE,2011-05-07,true
Alakazam,Psychic,,500,55,50,45,135,95,120,3,FALSE,2013-05-16,true
Machop,Fighting,,305,70,80,50,35,35,35,1,FALSE,2014-10-08,false
Machoke,Fighting,,405,80,100,70,50,60,45,2,FALSE,1996-09-22,false
Machamp,Fighting,,505,90,130,80,65,85,55,3,FALSE,1998-06-29,false
Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE,2019-03-06,false
Weepinbell,Grass,Poison,390,65,90,50,85,45,55,2,FALSE,2020-09-14,true
Victreebel,Grass,Poison,490,80,105,65,100,70,70,3,FALSE,2014-03-06,false
Tentacool,Water,Poison,335,40,40,35,50,100,70,1,FALSE,2017-05-16,true
Tentacruel,Water,Poison,515,80,70,65,80,120,100,2,FALSE,2010-07-14,false
Geodude,Rock,Ground,300,40,80,100,30,30,20,1,FALSE,2000-05-16,false
Graveler,Rock,Ground,390,55,95,115,45,45,35,2,FALSE,2001-12-24,true
Golem,Rock,Ground,495,80,120,130,55,65,45,3,FALSE,2007-10-29,false
Ponyta,Fire,,410,50,85,55,65,65,90,1,FALSE,1997-03-14,false
Rapidash,Fire,,500,65,100,70,80,80,105,2,FALSE,2002-01-16,true
Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,FALSE,2000-09-22,true
Slowbro,Water,Psychic,490,95,75,110,100,80,30,2,FALSE,2010-09-14,true
Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,FALSE,2008-02-15,false
Magneton,Electric,Steel,465,50,60,95,120,70,70,2,FALSE,2019-08-12,false
Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,FALSE,2012-04-23,true
Doduo,Normal,Flying,310,35,85,45,35,35,75,1,FALSE,2002-09-24,true
Dodrio,Normal,Flying,460,60,110,70,60,60,100,2,FALSE,1997-02-24,false
Seel,Water,,325,65,45,55,45,70,45,1,FALSE,2014-06-28,true
Dewgong,Water,Ice,475,90,70,80,70,95,70,2,FALSE,2007-09-18,true
Grimer,Poison,,325,80,80,50,40,50,25,1,FALSE,2016-08-26,true
Muk,Poison,,500,105,105,75,65,100,50,2,FALSE,2001-05-26,false
Shellder,Water,,305,30,65,100,45,25,40,1,FALSE,1999-07-24,false
Cloyster,Water,Ice,525,50,95,180,85,45,70,2,FALSE,2012-10-14,true
Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE,1997-01-02,true
Haunter,Ghost,Poison,405,45,50,45,115,55,95,2,FALSE,2011-05-03,false
Gengar,Ghost,Poison,500,60,65,60,130,75,110,3,FALSE,2001-05-04,true
Onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE,2003-10-05,true
Drowzee,Psychic,,328,60,48,45,43,90,42,1,FALSE,1997-04-07,false
Hypno,Psychic,,483,85,73,70,73,115,67,2,FALSE,2006-01-13,true
Krabby,Water,,325,30,105,90,25,25,50,1,FALSE,1996-04-30,false
Kingler,Water,,475,55,130,115,50,50,75,2,FALSE,1997-11-14,false
Voltorb,Electric,,330,40,30,50,55,55,100,1,FALSE,2012-12-18,false
Electrode,Electric,,480,60,50,70,80,80,140,2,FALSE,2003-09-13,false
Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE,2006-11-16,false
Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,2,FALSE,2016-12-21,true
Cubone,Ground,,320,50,50,95,40,50,35,1,FALSE,1998-09-28,true
Marowak,Ground,,425,60,80,110,50,80,45,2,FALSE,2001-12-25,true
Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,FALSE,2018-11-02,false
Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,FALSE,2001-03-02,false
Lickitung,Normal,,385,90,55,75,60,75,30,1,FALSE,1998-03-18,false
Koffing,Poison,,340,40,65,95,60,45,35,1,FALSE,2004-02-26,true
Weezing,Poison,,490,65,90,120,85,70,60,2,FALSE,1997-05-20,true
Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,FALSE,1998-04-20,false
Rhydon,Ground,Rock,485,105,130,120,45,45,40,2,FALSE,2008-11-14,true
Chansey,Normal,,450,250,5,5,35,105,50,1,FALSE,1997-08-07,false
Tangela,Grass,,435,65,55,115,100,40,60,1,FALSE,2006-02-21,true
Kangaskhan,Normal,,490,105,95,80,40,80,90,1,FALSE,2014-09-03,true
Horsea,Water,,295,30,40,70,70,25,60,1,FALSE,2004-12-09,true
Seadra,Water,,440,55,65,95,95,45,85,2,FALSE,2017-12-04,false
Goldeen,Water,,320,45,67,60,35,50,63,1,FALSE,1998-02-25,false
Seaking,Water,,450,80,92,65,65,80,68,2,FALSE,2002-08-09,true
Staryu,Water,,340,30,45,55,70,55,85,1,FALSE,1999-03-11,true
Starmie,Water,Psychic,520,60,75,85,100,85,115,2,FALSE,2007-12-11,false
Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE,2001-07-27,true
Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE,2014-08-19,true
Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE,2011-03-13,true
Electabuzz,Electric,,490,65,83,57,95,85,105,1,FALSE,2017-08-04,false
Magmar,Fire,,495,65,95,57,100,85,93,1,FALSE,1997-04-04,false
Pinsir,Bug,,500,65,125,100,55,70,85,1,FALSE,2016-02-25,false
Tauros,Normal,,490,75,100,95,40,70,110,1,FALSE,1996-07-11,false
Magikarp,Water,,200,20,10,55,15,20,80,1,FALSE,2015-10-15,false
Gyarados,Water,Flying,540,95,125,79,60,100,81,2,FALSE,2019-04-16,true
Lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE,2012-05-23,false
Ditto,Normal,,288,48,48,48,48,48,48,1,FALSE,2005-06-29,false
Eevee,Normal,,325,55,55,50,45,65,55,1,FALSE,2010-10-23,true
Vaporeon,Water,,525,130,65,60,110,95,65,2,FALSE,2015-07-29,false
Jolteon,Electric,,525,65,65,60,110,95,130,2,FALSE,2013-11-11,false
Flareon,Fire,,525,65,130,60,95,110,65,2,FALSE,1998-03-01,true
Porygon,Normal,,395,65,60,70,85,75,40,1,FALSE,2017-12-21,true
Omanyte,Rock,Water,355,35,40,100,90,55,35,1,FALSE,2016-06-12,false
Omastar,Rock,Water,495,70,60,125,115,70,55,2,FALSE,1996-05-04,true
Kabuto,Rock,Water,355,30,80,90,55,45,55,1,FALSE,2017-04-29,false
Kabutops,Rock,Water,495,60,115,105,65,70,80,2,FALSE,2004-04-17,true
Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE,2006-01-28,true
Snorlax,Normal,,540,160,110,65,65,110,30,1,FALSE,1998-06-24,false
Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE,2014-01-17,true
Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE,2006-07-31,true
Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE,2000-05-07,false
Dratini,Dragon,,300,41,64,45,50,50,50,1,FALSE,2019-03-02,true
Dragonair,Dragon,,420,61,84,65,70,70,70,2,FALSE,2015-12-25,true
Dragonite,Dragon,Flying,600,91,134,95,100,100,80,3,FALSE,2005-05-15,true
Mewtwo,Psychic,,680,106,110,90,154,90,130,1,TRUE,2007-05-06,true
Mew,Psychic,,600,100,100,100,100,100,100,1,FALSE,1996-10-13,true
